?ingredient	?ingLab
<http://purl.obolibrary.org/obo/DRON_00015291>	amylmetacresol
<http://purl.obolibrary.org/obo/DRON_00015292>	Mephenesin
<http://purl.obolibrary.org/obo/DRON_00015293>	Mephentermine
<http://purl.obolibrary.org/obo/DRON_00015296>	mepindolol
<http://purl.obolibrary.org/obo/DRON_00015299>	bismuth aluminate
<http://purl.obolibrary.org/obo/DRON_00015300>	Vanadium
<http://purl.obolibrary.org/obo/DRON_00015302>	COBALT GLUCONATE
<http://purl.obolibrary.org/obo/DRON_00015307>	Mercury
<http://purl.obolibrary.org/obo/DRON_00015309>	mesulfen
<http://purl.obolibrary.org/obo/DRON_00015310>	Metaclazepam hydrochloride
<http://purl.obolibrary.org/obo/DRON_00015311>	methampicillin
<http://purl.obolibrary.org/obo/DRON_00015312>	Methacycline
<http://purl.obolibrary.org/obo/DRON_00015315>	Carnitine
<http://purl.obolibrary.org/obo/DRON_00015316>	Racemethionine
<http://purl.obolibrary.org/obo/DRON_00015318>	Methocarbamol
<http://purl.obolibrary.org/obo/DRON_00015320>	METHOSERPIDINE
<http://purl.obolibrary.org/obo/DRON_00015321>	METHYL BUTETISALICYLATE
<http://purl.obolibrary.org/obo/DRON_00015322>	METHYL DIACETYLCYSTEINATE
<http://purl.obolibrary.org/obo/DRON_00015324>	Methysergide
<http://purl.obolibrary.org/obo/DRON_00015328>	CAPSICUM OLEORESIN
<http://purl.obolibrary.org/obo/DRON_00015330>	Calcium polystyrene sulfonate product
<http://purl.obolibrary.org/obo/DRON_00015337>	metopimazine
<http://purl.obolibrary.org/obo/DRON_00015338>	Methylergonovine
<http://purl.obolibrary.org/obo/DRON_00015344>	isopropyl myristate
<http://purl.obolibrary.org/obo/DRON_00015347>	FLUPREDNIDENE
<http://purl.obolibrary.org/obo/DRON_00015348>	micronomicin
<http://purl.obolibrary.org/obo/DRON_00015350>	MIRANOL 2MHT MODIFIED
<http://purl.obolibrary.org/obo/DRON_00015351>	MIRISTALKONIUM
<http://purl.obolibrary.org/obo/DRON_00015353>	midecamycin
<http://purl.obolibrary.org/obo/DRON_00015354>	mizolastine
<http://purl.obolibrary.org/obo/DRON_00015355>	modified fluid gelatins
<http://purl.obolibrary.org/obo/DRON_00015358>	monophenylbutazone
<http://purl.obolibrary.org/obo/DRON_00015359>	mofezolac
<http://purl.obolibrary.org/obo/DRON_00015361>	Molsidomine
<http://purl.obolibrary.org/obo/DRON_00015362>	morniflumate
<http://purl.obolibrary.org/obo/DRON_00015363>	attapulgite
<http://purl.obolibrary.org/obo/DRON_00015364>	Sulfalene
<http://purl.obolibrary.org/obo/DRON_00015366>	minaprine
<http://purl.obolibrary.org/obo/DRON_00015367>	moxaverine
<http://purl.obolibrary.org/obo/DRON_00015369>	MORPHOLINE SALICYLATE
<http://purl.obolibrary.org/obo/DRON_00015370>	mosapride
<http://purl.obolibrary.org/obo/DRON_00015372>	MAGNESIUM THIOSULFATE
<http://purl.obolibrary.org/obo/DRON_00015373>	Bismuth
<http://purl.obolibrary.org/obo/DRON_00015375>	nabumetone
<http://purl.obolibrary.org/obo/DRON_00015376>	nadoxolol
<http://purl.obolibrary.org/obo/DRON_00015378>	Nafronyl
<http://purl.obolibrary.org/obo/DRON_00015380>	naftazone
<http://purl.obolibrary.org/obo/DRON_00015382>	naringin
<http://purl.obolibrary.org/obo/DRON_00015388>	Nefopam
<http://purl.obolibrary.org/obo/DRON_00015389>	NEO-HOMOSALATE
<http://purl.obolibrary.org/obo/DRON_00015392>	Flumethasone
<http://purl.obolibrary.org/obo/DRON_00015393>	Fluocinonide
<http://purl.obolibrary.org/obo/DRON_00015394>	Halcinonide
<http://purl.obolibrary.org/obo/DRON_00015398>	Natamycin
<http://purl.obolibrary.org/obo/DRON_00015403>	Niflumic Acid
<http://purl.obolibrary.org/obo/DRON_00015404>	Nifurtimox
<http://purl.obolibrary.org/obo/DRON_00015405>	nilvadipine
<http://purl.obolibrary.org/obo/DRON_00015408>	nimesulide
<http://purl.obolibrary.org/obo/DRON_00015409>	Nialamide
<http://purl.obolibrary.org/obo/DRON_00015411>	Nicergoline
<http://purl.obolibrary.org/obo/DRON_00015412>	idebenone
<http://purl.obolibrary.org/obo/DRON_00015413>	nitazoxanide
<http://purl.obolibrary.org/obo/DRON_00015414>	Nitrendipine
<http://purl.obolibrary.org/obo/DRON_00015416>	Norgestrienone
<http://purl.obolibrary.org/obo/DRON_00015420>	Theobromine
<http://purl.obolibrary.org/obo/DRON_00015425>	Escin
<http://purl.obolibrary.org/obo/DRON_00015426>	Nylidrin
<http://purl.obolibrary.org/obo/DRON_00015427>	nitroxoline
<http://purl.obolibrary.org/obo/DRON_00015428>	Nordazepam
<http://purl.obolibrary.org/obo/DRON_00015429>	Norethandrolone
<http://purl.obolibrary.org/obo/DRON_00015430>	Octoxynol-9
<http://purl.obolibrary.org/obo/DRON_00015434>	ethamivan
<http://purl.obolibrary.org/obo/DRON_00015437>	OCTODRINE
<http://purl.obolibrary.org/obo/DRON_00015438>	Pentylenetetrazole
<http://purl.obolibrary.org/obo/DRON_00015440>	norfenefrine
<http://purl.obolibrary.org/obo/DRON_00015446>	Ouabain
<http://purl.obolibrary.org/obo/DRON_00015448>	oxaceprol
<http://purl.obolibrary.org/obo/DRON_00015449>	Oxamniquine
<http://purl.obolibrary.org/obo/DRON_00015457>	Oxerutins
<http://purl.obolibrary.org/obo/DRON_00015460>	Opipramol
<http://purl.obolibrary.org/obo/DRON_00015462>	oxetorone
<http://purl.obolibrary.org/obo/DRON_00015463>	aluminum acetotartrate
<http://purl.obolibrary.org/obo/DRON_00015464>	Paraffin
<http://purl.obolibrary.org/obo/DRON_00015467>	oxiconazole
<http://purl.obolibrary.org/obo/DRON_00015468>	oxilofrine
<http://purl.obolibrary.org/obo/DRON_00015469>	oxiracetam
<http://purl.obolibrary.org/obo/DRON_00015470>	oxitropium
<http://purl.obolibrary.org/obo/DRON_00015471>	PALMITOYL COLLAGEN ACID
<http://purl.obolibrary.org/obo/DRON_00015472>	Oxolinic Acid
<http://purl.obolibrary.org/obo/DRON_00015480>	Oxyfedrine
<http://purl.obolibrary.org/obo/DRON_00015481>	butalamine
<http://purl.obolibrary.org/obo/DRON_00015482>	PARETHOXYCAINE
<http://purl.obolibrary.org/obo/DRON_00015484>	oxypolygelatine
<http://purl.obolibrary.org/obo/DRON_00015486>	parthenolide
<http://purl.obolibrary.org/obo/DRON_00015487>	Pancreas extract
<http://purl.obolibrary.org/obo/DRON_00015489>	myrtol
<http://purl.obolibrary.org/obo/DRON_00015490>	"4-cymene"
<http://purl.obolibrary.org/obo/DRON_00015491>	chlorproethazine
<http://purl.obolibrary.org/obo/DRON_00015492>	Paroxypropione
<http://purl.obolibrary.org/obo/DRON_00015499>	Pentagastrin
<http://purl.obolibrary.org/obo/DRON_00015500>	pentifylline
<http://purl.obolibrary.org/obo/DRON_00015502>	Aluminum stearate
<http://purl.obolibrary.org/obo/DRON_00015511>	Pentoxifylline
<http://purl.obolibrary.org/obo/DRON_00015519>	Perazine
<http://purl.obolibrary.org/obo/DRON_00015520>	Pefloxacin
<http://purl.obolibrary.org/obo/DRON_00015521>	Penbutolol
<http://purl.obolibrary.org/obo/DRON_00015523>	Pertussis Vaccine
<http://purl.obolibrary.org/obo/DRON_00015525>	Phenazocine
<http://purl.obolibrary.org/obo/DRON_00015527>	PHENICARBAZIDE
<http://purl.obolibrary.org/obo/DRON_00015530>	Phenmetrazine
<http://purl.obolibrary.org/obo/DRON_00015531>	fenbutrazate
<http://purl.obolibrary.org/obo/DRON_00015532>	difebarbamate
<http://purl.obolibrary.org/obo/DRON_00015533>	febarbamate
<http://purl.obolibrary.org/obo/DRON_00015534>	Merbromin
<http://purl.obolibrary.org/obo/DRON_00015539>	Agar
<http://purl.obolibrary.org/obo/DRON_00015542>	Rhubarb preparation
<http://purl.obolibrary.org/obo/DRON_00015544>	phenothrin
<http://purl.obolibrary.org/obo/DRON_00015545>	Phenoxybenzamine
<http://purl.obolibrary.org/obo/DRON_00015547>	Phenoxyethanol
<http://purl.obolibrary.org/obo/DRON_00015550>	Phentolamine
<http://purl.obolibrary.org/obo/DRON_00015555>	buzepide metiodide
<http://purl.obolibrary.org/obo/DRON_00015562>	chlorphenoxamine
<http://purl.obolibrary.org/obo/DRON_00015563>	oxatomide
<http://purl.obolibrary.org/obo/DRON_00015569>	ISOMYRTOL
<http://purl.obolibrary.org/obo/DRON_00015570>	pholedrine
<http://purl.obolibrary.org/obo/DRON_00015571>	Phosphocysteamine
<http://purl.obolibrary.org/obo/DRON_00015572>	PHOSPHOLIPID,BEEF
<http://purl.obolibrary.org/obo/DRON_00015573>	biclotymol
<http://purl.obolibrary.org/obo/DRON_00015577>	bismuth subgallate
<http://purl.obolibrary.org/obo/DRON_00015583>	Phthalylsulfacetamide
<http://purl.obolibrary.org/obo/DRON_00015584>	Clioquinol
<http://purl.obolibrary.org/obo/DRON_00015585>	phthalylsulfathiazole
<http://purl.obolibrary.org/obo/DRON_00015588>	pidotimod
<http://purl.obolibrary.org/obo/DRON_00015589>	piketoprofen
<http://purl.obolibrary.org/obo/DRON_00015590>	Pinacidil
<http://purl.obolibrary.org/obo/DRON_00015592>	pipamperone
<http://purl.obolibrary.org/obo/DRON_00015593>	bioallethrin
<http://purl.obolibrary.org/obo/DRON_00015594>	pipothiazine
<http://purl.obolibrary.org/obo/DRON_00015598>	pipoxolan
<http://purl.obolibrary.org/obo/DRON_00015599>	piprozoline
<http://purl.obolibrary.org/obo/DRON_00015604>	Piribedil
<http://purl.obolibrary.org/obo/DRON_00015605>	pyrisuccideanol
<http://purl.obolibrary.org/obo/DRON_00015606>	Pirinitramide
<http://purl.obolibrary.org/obo/DRON_00015608>	climbazole
<http://purl.obolibrary.org/obo/DRON_00015609>	piroctone olamine
<http://purl.obolibrary.org/obo/DRON_00015612>	Potassium Aspartate
<http://purl.obolibrary.org/obo/DRON_00015617>	POLICRESULEN
<http://purl.obolibrary.org/obo/DRON_00015618>	calcium polycarbophil
<http://purl.obolibrary.org/obo/DRON_00015620>	POTASSIUM GLUCOHEPTONATE
<http://purl.obolibrary.org/obo/DRON_00015626>	prifinium
<http://purl.obolibrary.org/obo/DRON_00015627>	Pristinamycin
<http://purl.obolibrary.org/obo/DRON_00015628>	Hematoporphyrin
<http://purl.obolibrary.org/obo/DRON_00015629>	pangamic acid
<http://purl.obolibrary.org/obo/DRON_00015631>	PROCYANIDOLIC OLIGOMER
<http://purl.obolibrary.org/obo/DRON_00015632>	progabide
<http://purl.obolibrary.org/obo/DRON_00015634>	proglumetacin
<http://purl.obolibrary.org/obo/DRON_00015635>	Proglumide
<http://purl.obolibrary.org/obo/DRON_00015637>	promestriene
<http://purl.obolibrary.org/obo/DRON_00015638>	Propanidid
<http://purl.obolibrary.org/obo/DRON_00015639>	propentofylline
<http://purl.obolibrary.org/obo/DRON_00015641>	propicillin
<http://purl.obolibrary.org/obo/DRON_00015644>	propinox
<http://purl.obolibrary.org/obo/DRON_00015645>	potassium perchlorate
<http://purl.obolibrary.org/obo/DRON_00015646>	Potassium Permanganate
<http://purl.obolibrary.org/obo/DRON_00015650>	MAGNESIUM GLUCONATE
<http://purl.obolibrary.org/obo/DRON_00015652>	Potassium tartrate
<http://purl.obolibrary.org/obo/DRON_00015654>	Prajmaline
<http://purl.obolibrary.org/obo/DRON_00015655>	Polythiazide
<http://purl.obolibrary.org/obo/DRON_00015656>	prednazoline
<http://purl.obolibrary.org/obo/DRON_00015658>	prednicarbate
<http://purl.obolibrary.org/obo/DRON_00015659>	Prednimustine
<http://purl.obolibrary.org/obo/DRON_00015660>	BISMUTH CHLORIDE OXIDE
<http://purl.obolibrary.org/obo/DRON_00015661>	PROPYLENE GLYCOL SALICYLATE
<http://purl.obolibrary.org/obo/DRON_00015663>	benzylparaben
<http://purl.obolibrary.org/obo/DRON_00015664>	propylparaben
<http://purl.obolibrary.org/obo/DRON_00015666>	bisdequalinium
<http://purl.obolibrary.org/obo/DRON_00015671>	Idoxuridine
<http://purl.obolibrary.org/obo/DRON_00015673>	carzenide
<http://purl.obolibrary.org/obo/DRON_00015677>	cycloadiphenine
<http://purl.obolibrary.org/obo/DRON_00015680>	prednylidene
<http://purl.obolibrary.org/obo/DRON_00015681>	propyphenazone
<http://purl.obolibrary.org/obo/DRON_00015682>	prothipendyl
<http://purl.obolibrary.org/obo/DRON_00015684>	Prothionamide
<http://purl.obolibrary.org/obo/DRON_00015685>	piretanide
<http://purl.obolibrary.org/obo/DRON_00015686>	proxibarbal
<http://purl.obolibrary.org/obo/DRON_00015692>	Dihydroergocristine
<http://purl.obolibrary.org/obo/DRON_00015693>	benzthiazide
<http://purl.obolibrary.org/obo/DRON_00015695>	Clopamide
<http://purl.obolibrary.org/obo/DRON_00015696>	Mefruside
<http://purl.obolibrary.org/obo/DRON_00015703>	benphothiamine
<http://purl.obolibrary.org/obo/DRON_00015706>	Barbital
<http://purl.obolibrary.org/obo/DRON_00015712>	Rifamycins
<http://purl.obolibrary.org/obo/DRON_00015714>	rifaximin
<http://purl.obolibrary.org/obo/DRON_00015715>	rilmenidine
<http://purl.obolibrary.org/obo/DRON_00015718>	pridinol
<http://purl.obolibrary.org/obo/DRON_00015719>	rofecoxib
<http://purl.obolibrary.org/obo/DRON_00015722>	quinupramine
<http://purl.obolibrary.org/obo/DRON_00015724>	acetorphan
<http://purl.obolibrary.org/obo/DRON_00015729>	salicin
<http://purl.obolibrary.org/obo/DRON_00015731>	ICTASOL
<http://purl.obolibrary.org/obo/DRON_00015732>	Saralasin
<http://purl.obolibrary.org/obo/DRON_00015733>	SCOPARIUM
<http://purl.obolibrary.org/obo/DRON_00015735>	Nitrazepam
<http://purl.obolibrary.org/obo/DRON_00015736>	Selenomethionine
<http://purl.obolibrary.org/obo/DRON_00015745>	sennoside B
<http://purl.obolibrary.org/obo/DRON_00015749>	Aloe Extract
<http://purl.obolibrary.org/obo/DRON_00015753>	Plantago Seed
<http://purl.obolibrary.org/obo/DRON_00015754>	Diethylstilbestrol
<http://purl.obolibrary.org/obo/DRON_00015755>	Silicon
<http://purl.obolibrary.org/obo/DRON_00015757>	silver mono(2-aminoethyl)phosphate
<http://purl.obolibrary.org/obo/DRON_00015758>	silver acetate
<http://purl.obolibrary.org/obo/DRON_00015766>	Greater Celandine
<http://purl.obolibrary.org/obo/DRON_00015767>	Silymarin
<http://purl.obolibrary.org/obo/DRON_00015768>	SIMALDRATE
<http://purl.obolibrary.org/obo/DRON_00015770>	cinametic acid
<http://purl.obolibrary.org/obo/DRON_00015773>	roxatidine
<http://purl.obolibrary.org/obo/DRON_00015785>	ruscogenin
<http://purl.obolibrary.org/obo/DRON_00015786>	Aluminum Oxide
<http://purl.obolibrary.org/obo/DRON_00015789>	alverine
<http://purl.obolibrary.org/obo/DRON_00015796>	clebopride
<http://purl.obolibrary.org/obo/DRON_00015798>	dihydroxybutyl ether
<http://purl.obolibrary.org/obo/DRON_00015799>	Bromazepam
<http://purl.obolibrary.org/obo/DRON_00015820>	Silicones
<http://purl.obolibrary.org/obo/DRON_00015822>	Sisomicin
<http://purl.obolibrary.org/obo/DRON_00015826>	Sitosterols
<http://purl.obolibrary.org/obo/DRON_00015828>	Hyaluronidase
<http://purl.obolibrary.org/obo/DRON_00015829>	Sucralfate
<http://purl.obolibrary.org/obo/DRON_00015830>	sulbutiamine
<http://purl.obolibrary.org/obo/DRON_00015832>	sulfanilylurea
<http://purl.obolibrary.org/obo/DRON_00015833>	SULFACHRYSOIDINE
<http://purl.obolibrary.org/obo/DRON_00015837>	tetroxoprim
<http://purl.obolibrary.org/obo/DRON_00015838>	Black currant preparation
<http://purl.obolibrary.org/obo/DRON_00015841>	camphoric acid 1-methyl ester
<http://purl.obolibrary.org/obo/DRON_00015842>	Sodium Nitrite
<http://purl.obolibrary.org/obo/DRON_00015843>	guaiazulene
<http://purl.obolibrary.org/obo/DRON_00015845>	SODIUM PHENOLSULFONATE
<http://purl.obolibrary.org/obo/DRON_00015847>	Pyroglutamate
<http://purl.obolibrary.org/obo/DRON_00015850>	Sodium tartrate
<http://purl.obolibrary.org/obo/DRON_00015852>	Sulfamerazine
<http://purl.obolibrary.org/obo/DRON_00015853>	Dicumarol
<http://purl.obolibrary.org/obo/DRON_00015855>	Sulfamethizole
<http://purl.obolibrary.org/obo/DRON_00015856>	sulfaethidole
<http://purl.obolibrary.org/obo/DRON_00015857>	Edrecolomab
<http://purl.obolibrary.org/obo/DRON_00015858>	Sulfamethoxypyridazine
<http://purl.obolibrary.org/obo/DRON_00015859>	sulfametrole
<http://purl.obolibrary.org/obo/DRON_00015862>	Sulfisomidine
<http://purl.obolibrary.org/obo/DRON_00015863>	Fluprednisolone
<http://purl.obolibrary.org/obo/DRON_00015864>	POLYOXYETHYLENE ETHER
<http://purl.obolibrary.org/obo/DRON_00015867>	Sulpiride
<http://purl.obolibrary.org/obo/DRON_00015868>	sultamicillin
<http://purl.obolibrary.org/obo/DRON_00015869>	sultopride
<http://purl.obolibrary.org/obo/DRON_00015871>	Muramidase
<http://purl.obolibrary.org/obo/DRON_00015879>	trimethylphloroglucinol
<http://purl.obolibrary.org/obo/DRON_00015883>	talinolol
<http://purl.obolibrary.org/obo/DRON_00015885>	stevioside
<http://purl.obolibrary.org/obo/DRON_00015887>	tartaric acid
<http://purl.obolibrary.org/obo/DRON_00015888>	SPIKE LAVENDER OIL
<http://purl.obolibrary.org/obo/DRON_00015890>	althiazide
<http://purl.obolibrary.org/obo/DRON_00015891>	buthiazide
<http://purl.obolibrary.org/obo/DRON_00015892>	Tegafur
<http://purl.obolibrary.org/obo/DRON_00015893>	telmesteine
<http://purl.obolibrary.org/obo/DRON_00015895>	methoxyphenamine
<http://purl.obolibrary.org/obo/DRON_00015896>	ferrous succinate
<http://purl.obolibrary.org/obo/DRON_00015899>	succinylsulfathiazole
<http://purl.obolibrary.org/obo/DRON_00015901>	TENONITROZOLE
<http://purl.obolibrary.org/obo/DRON_00015902>	tenoxicam
<http://purl.obolibrary.org/obo/DRON_00015906>	terizidone
<http://purl.obolibrary.org/obo/DRON_00015910>	Mechlorethamine
<http://purl.obolibrary.org/obo/DRON_00015912>	tertatolol
<http://purl.obolibrary.org/obo/DRON_00015914>	etofylline
<http://purl.obolibrary.org/obo/DRON_00015916>	aminoquinuride
<http://purl.obolibrary.org/obo/DRON_00015921>	Oleandomycin
<http://purl.obolibrary.org/obo/DRON_00015922>	Thalidomide
<http://purl.obolibrary.org/obo/DRON_00015923>	THENOATE LITHIUM
<http://purl.obolibrary.org/obo/DRON_00015924>	THEOFIBRATE
<http://purl.obolibrary.org/obo/DRON_00015925>	Estriol
<http://purl.obolibrary.org/obo/DRON_00015927>	thymomodulin
<http://purl.obolibrary.org/obo/DRON_00015928>	Thymopentin
<http://purl.obolibrary.org/obo/DRON_00015929>	Thymus Gland-Calf
<http://purl.obolibrary.org/obo/DRON_00015930>	THYROID (PORK)
<http://purl.obolibrary.org/obo/DRON_00015931>	tiadenol
<http://purl.obolibrary.org/obo/DRON_00015933>	Tiapride
<http://purl.obolibrary.org/obo/DRON_00015934>	TIBEZONIUM IODIDE
<http://purl.obolibrary.org/obo/DRON_00015935>	TICK-BORN ENCEPHALITIS VACC
<http://purl.obolibrary.org/obo/DRON_00015939>	"5-methyl-8-hydroxyquinoline"
<http://purl.obolibrary.org/obo/DRON_00015940>	tilbroquinol
<http://purl.obolibrary.org/obo/DRON_00015943>	Tilidine
<http://purl.obolibrary.org/obo/DRON_00015944>	Thiamphenicol
<http://purl.obolibrary.org/obo/DRON_00015946>	thiocolchicoside
<http://purl.obolibrary.org/obo/DRON_00015948>	Thiophene
<http://purl.obolibrary.org/obo/DRON_00015949>	Thiram
<http://purl.obolibrary.org/obo/DRON_00015952>	Anise oil
<http://purl.obolibrary.org/obo/DRON_00015956>	Tocamphyl
<http://purl.obolibrary.org/obo/DRON_00015957>	Niclosamide
<http://purl.obolibrary.org/obo/DRON_00015958>	tofisopam
<http://purl.obolibrary.org/obo/DRON_00015959>	tolciclate
<http://purl.obolibrary.org/obo/DRON_00015961>	tolfenamic acid
<http://purl.obolibrary.org/obo/DRON_00015965>	toloxatone
<http://purl.obolibrary.org/obo/DRON_00015966>	TORMENTIL
<http://purl.obolibrary.org/obo/DRON_00015967>	tioclomarol
<http://purl.obolibrary.org/obo/DRON_00015970>	Mazindol
<http://purl.obolibrary.org/obo/DRON_00015971>	tiratricol
<http://purl.obolibrary.org/obo/DRON_00015972>	tiropramide
<http://purl.obolibrary.org/obo/DRON_00015973>	thiopurinol
<http://purl.obolibrary.org/obo/DRON_00015976>	Tranexamic Acid
<http://purl.obolibrary.org/obo/DRON_00015977>	tranilast
<http://purl.obolibrary.org/obo/DRON_00015979>	Trapidil
<http://purl.obolibrary.org/obo/DRON_00015983>	dehydrosanol
<http://purl.obolibrary.org/obo/DRON_00015985>	cyclothiazide
<http://purl.obolibrary.org/obo/DRON_00015988>	Methyclothiazide
<http://purl.obolibrary.org/obo/DRON_00015990>	Metolazone
<http://purl.obolibrary.org/obo/DRON_00015993>	Xipamide
<http://purl.obolibrary.org/obo/DRON_00015994>	tribenoside
<http://purl.obolibrary.org/obo/DRON_00015995>	TRICARBAURINIUM
<http://purl.obolibrary.org/obo/DRON_00015996>	trepibutone
<http://purl.obolibrary.org/obo/DRON_00015998>	fomocain
<http://purl.obolibrary.org/obo/DRON_00016008>	lapyrium
<http://purl.obolibrary.org/obo/DRON_00016014>	Triflupromazine
<http://purl.obolibrary.org/obo/DRON_00016018>	Nitrofurazone
<http://purl.obolibrary.org/obo/DRON_00016020>	Trifluridine
<http://purl.obolibrary.org/obo/DRON_00016022>	Tyrothricin
<http://purl.obolibrary.org/obo/DRON_00016025>	Trihexyphenidyl
<http://purl.obolibrary.org/obo/DRON_00016026>	demelverin
<http://purl.obolibrary.org/obo/DRON_00016028>	Trimebutine
<http://purl.obolibrary.org/obo/DRON_00016031>	Trimetazidine
<http://purl.obolibrary.org/obo/DRON_00016032>	Phloroglucinol
<http://purl.obolibrary.org/obo/DRON_00016034>	tritoqualine
<http://purl.obolibrary.org/obo/DRON_00016035>	trofosfamide
<http://purl.obolibrary.org/obo/DRON_00016038>	Troleandomycin
<http://purl.obolibrary.org/obo/DRON_00016040>	tromantadine
<http://purl.obolibrary.org/obo/DRON_00016042>	tropatepine
<http://purl.obolibrary.org/obo/DRON_00016051>	coumarin
<http://purl.obolibrary.org/obo/DRON_00016063>	Tubocurarine
<http://purl.obolibrary.org/obo/DRON_00016064>	Tyramine
<http://purl.obolibrary.org/obo/DRON_00016065>	Uranium
<http://purl.obolibrary.org/obo/DRON_00016067>	urapidil
<http://purl.obolibrary.org/obo/DRON_00016068>	[13C] urea
<http://purl.obolibrary.org/obo/DRON_00016070>	Uridine
<http://purl.obolibrary.org/obo/DRON_00016072>	VALEPOTRIATE
<http://purl.obolibrary.org/obo/DRON_00016074>	dipropylacetamide
<http://purl.obolibrary.org/obo/DRON_00016077>	Triamterene
<http://purl.obolibrary.org/obo/DRON_00016079>	Viloxazine
<http://purl.obolibrary.org/obo/DRON_00016080>	Vinbarbital
<http://purl.obolibrary.org/obo/DRON_00016082>	vinburnine
<http://purl.obolibrary.org/obo/DRON_00016087>	Vincamine
<http://purl.obolibrary.org/obo/DRON_00016089>	butylvinal
<http://purl.obolibrary.org/obo/DRON_00016090>	viquidil
<http://purl.obolibrary.org/obo/DRON_00016091>	Virginiamycin
<http://purl.obolibrary.org/obo/DRON_00016095>	Orotic Acid
<http://purl.obolibrary.org/obo/DRON_00016096>	Xenon-133
<http://purl.obolibrary.org/obo/DRON_00016098>	xibornol
<http://purl.obolibrary.org/obo/DRON_00016107>	Zinc Orotate
<http://purl.obolibrary.org/obo/DRON_00016108>	chlorocresol
<http://purl.obolibrary.org/obo/DRON_00016109>	ichthammol
<http://purl.obolibrary.org/obo/DRON_00016110>	ensulizole
<http://purl.obolibrary.org/obo/DRON_00016111>	zofenopril
<http://purl.obolibrary.org/obo/DRON_00016113>	omoconazole
<http://purl.obolibrary.org/obo/DRON_00016115>	Cloprostenol
<http://purl.obolibrary.org/obo/DRON_00016116>	Somatorelin
<http://purl.obolibrary.org/obo/DRON_00016117>	Potassium Sorbate
<http://purl.obolibrary.org/obo/DRON_00016118>	Sulfobromophthalein
<http://purl.obolibrary.org/obo/DRON_00016121>	abacavir
<http://purl.obolibrary.org/obo/DRON_00016126>	epigallocatechin gallate
<http://purl.obolibrary.org/obo/DRON_00016127>	hydroxypropylcellulose
<http://purl.obolibrary.org/obo/DRON_00016128>	guar gum
<http://purl.obolibrary.org/obo/DRON_00016129>	iron succinyl milk protein complex
<http://purl.obolibrary.org/obo/DRON_00016130>	Nizatidine
<http://purl.obolibrary.org/obo/DRON_00016132>	lanthanum carbonate
<http://purl.obolibrary.org/obo/DRON_00016134>	Korean Ginseng Root Extract
<http://purl.obolibrary.org/obo/DRON_00016138>	Zinc-DTPA
<http://purl.obolibrary.org/obo/DRON_00016142>	Phenacetin
<http://purl.obolibrary.org/obo/DRON_00016163>	Penicillin
<http://purl.obolibrary.org/obo/DRON_00016168>	Azacitidine
<http://purl.obolibrary.org/obo/DRON_00016169>	insulin, regular, beef-pork
<http://purl.obolibrary.org/obo/DRON_00016170>	darifenacin
<http://purl.obolibrary.org/obo/DRON_00016171>	Saquinavir
<http://purl.obolibrary.org/obo/DRON_00016174>	caramiphen
<http://purl.obolibrary.org/obo/DRON_00016177>	Methapyrilene
<http://purl.obolibrary.org/obo/DRON_00016178>	chlorothen
<http://purl.obolibrary.org/obo/DRON_00016180>	ziconotide
<http://purl.obolibrary.org/obo/DRON_00016185>	o-Phthalaldehyde
<http://purl.obolibrary.org/obo/DRON_00016186>	clofarabine
<http://purl.obolibrary.org/obo/DRON_00016188>	Palifermin
<http://purl.obolibrary.org/obo/DRON_00016196>	Iloprost
<http://purl.obolibrary.org/obo/DRON_00016198>	naftifine
<http://purl.obolibrary.org/obo/DRON_00016203>	Flecainide
<http://purl.obolibrary.org/obo/DRON_00016204>	Dolasetron
<http://purl.obolibrary.org/obo/DRON_00016213>	Calcifediol
<http://purl.obolibrary.org/obo/DRON_00016220>	tilmicosin
<http://purl.obolibrary.org/obo/DRON_00016223>	Oxymetazoline
<http://purl.obolibrary.org/obo/DRON_00016225>	fosphenytoin
<http://purl.obolibrary.org/obo/DRON_00016227>	Enterococcus faecalis
<http://purl.obolibrary.org/obo/DRON_00016230>	Insulin, Zinc, Pork
<http://purl.obolibrary.org/obo/DRON_00016233>	ferric subsulfate solution
<http://purl.obolibrary.org/obo/DRON_00016234>	Creosote
<http://purl.obolibrary.org/obo/DRON_00016235>	pyrite
<http://purl.obolibrary.org/obo/DRON_00016239>	"4-cresyl acetate"
<http://purl.obolibrary.org/obo/DRON_00016250>	Digitoxin
<http://purl.obolibrary.org/obo/DRON_00016251>	Synephrine
<http://purl.obolibrary.org/obo/DRON_00016253>	Noxythiolin
<http://purl.obolibrary.org/obo/DRON_00016254>	Dienestrol
<http://purl.obolibrary.org/obo/DRON_00016256>	Antilymphocyte Immunoglobulin
<http://purl.obolibrary.org/obo/DRON_00016258>	dibrompropamidine
<http://purl.obolibrary.org/obo/DRON_00016259>	Benserazide
<http://purl.obolibrary.org/obo/DRON_00016260>	Amphotericin
<http://purl.obolibrary.org/obo/DRON_00016261>	Iopanoic Acid
<http://purl.obolibrary.org/obo/DRON_00016262>	Hepatitis B Surface Antigens
<http://purl.obolibrary.org/obo/DRON_00016263>	hydrotalcite
<http://purl.obolibrary.org/obo/DRON_00016266>	fusafungin
<http://purl.obolibrary.org/obo/DRON_00016268>	Ioxaglate
